[0, 36]
  k  
 [13, 88.88888888864197, {'Accuracy': 88.88888888864197, 'Precision': 87.09677419326744, 'Specificity': 55.55555555493827, 'Recall': 99.99999999962964, 'F1': 93.10344827549127, 'Miss_Rate': 0.0, 'Accuracy_Balance': 77.77777777728396, 'Mathew_Correlation': 0.6956083436402515, 'Matrix': (27, 4, 0, 5)}]
 [15, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 83.87096774166494, 'Specificity': 44.444444443950616, 'Recall': 96.29629629593965, 'F1': 89.6551724134342, 'Miss_Rate': 0.03703703703689987, 'Accuracy_Balance': 70.37037036994514, 'Mathew_Correlation': 0.5101127853361844, 'Matrix': (26, 5, 1, 4)}]
 [17, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 83.87096774166494, 'Specificity': 44.444444443950616, 'Recall': 96.29629629593965, 'F1': 89.6551724134342, 'Miss_Rate': 0.03703703703689987, 'Accuracy_Balance': 70.37037036994514, 'Mathew_Correlation': 0.5101127853361844, 'Matrix': (26, 5, 1, 4)}]
 [19, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 83.87096774166494, 'Specificity': 44.444444443950616, 'Recall': 96.29629629593965, 'F1': 89.6551724134342, 'Miss_Rate': 0.03703703703689987, 'Accuracy_Balance': 70.37037036994514, 'Mathew_Correlation': 0.5101127853361844, 'Matrix': (26, 5, 1, 4)}]
[148, 184]
 [1, 99.99999999972222, {'Accuracy': 99.99999999972222, 'Precision': 99.99999999966668, 'Specificity': 99.99999999833334, 'Recall': 99.99999999966668, 'F1': 99.9999999996167, 'Miss_Rate': 0.0, 'Accuracy_Balance': 99.99999999900001, 'Mathew_Correlation': 0.9999999999999984, 'Matrix': (30, 0, 0, 6)}]
 [3, 91.66666666641203, {'Accuracy': 91.66666666641203, 'Precision': 93.54838709647242, 'Specificity': 66.66666666555555, 'Recall': 96.66666666634444, 'F1': 95.08196721275303, 'Miss_Rate': 0.03333333333322223, 'Accuracy_Balance': 81.66666666595, 'Mathew_Correlation': 0.6825001477017434, 'Matrix': (29, 2, 1, 4)}]
 [5, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 85.29411764680795, 'Specificity': 16.66666666638889, 'Recall': 96.66666666634444, 'F1': 90.624999999667, 'Miss_Rate': 0.03333333333322223, 'Accuracy_Balance': 56.666666666366666, 'Mathew_Correlation': 0.21693045781865528, 'Matrix': (29, 5, 1, 1)}]
 [7, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 85.29411764680795, 'Specificity': 16.66666666638889, 'Recall': 96.66666666634444, 'F1': 90.624999999667, 'Miss_Rate': 0.03333333333322223, 'Accuracy_Balance': 56.666666666366666, 'Mathew_Correlation': 0.21693045781865528, 'Matrix': (29, 5, 1, 1)}]
 [9, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 84.84848484822773, 'Specificity': 16.66666666638889, 'Recall': 93.33333333302222, 'F1': 88.88888888855682, 'Miss_Rate': 0.06666666666644445, 'Accuracy_Balance': 54.99999999970556, 'Mathew_Correlation': 0.13483997249264806, 'Matrix': (28, 5, 2, 1)}]
 [11, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 84.84848484822773, 'Specificity': 16.66666666638889, 'Recall': 93.33333333302222, 'F1': 88.88888888855682, 'Miss_Rate': 0.06666666666644445, 'Accuracy_Balance': 54.99999999970556, 'Mathew_Correlation': 0.13483997249264806, 'Matrix': (28, 5, 2, 1)}]
 [13, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 85.29411764680795, 'Specificity': 16.66666666638889, 'Recall': 96.66666666634444, 'F1': 90.624999999667, 'Miss_Rate': 0.03333333333322223, 'Accuracy_Balance': 56.666666666366666, 'Mathew_Correlation': 0.21693045781865528, 'Matrix': (29, 5, 1, 1)}]
 [15, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 87.49999999972657, 'Specificity': 33.33333333277778, 'Recall': 93.33333333302222, 'F1': 90.32258064482, 'Miss_Rate': 0.06666666666644445, 'Accuracy_Balance': 63.3333333329, 'Mathew_Correlation': 0.3162277660168373, 'Matrix': (28, 4, 2, 2)}]
 [17, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 87.49999999972657, 'Specificity': 33.33333333277778, 'Recall': 93.33333333302222, 'F1': 90.32258064482, 'Miss_Rate': 0.06666666666644445, 'Accuracy_Balance': 63.3333333329, 'Mathew_Correlation': 0.3162277660168373, 'Matrix': (28, 4, 2, 2)}]
 [19, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 87.49999999972657, 'Specificity': 33.33333333277778, 'Recall': 93.33333333302222, 'F1': 90.32258064482, 'Miss_Rate': 0.06666666666644445, 'Accuracy_Balance': 63.3333333329, 'Mathew_Correlation': 0.3162277660168373, 'Matrix': (28, 4, 2, 2)}]
[185, 221]
 [1, 94.4444444441821, {'Accuracy': 94.4444444441821, 'Precision': 95.23809523764173, 'Specificity': 93.3333333327111, 'Recall': 95.23809523764173, 'F1': 95.23809523759172, 'Miss_Rate': 0.04761904761882087, 'Accuracy_Balance': 94.28571428517643, 'Mathew_Correlation': 0.8857142857142852, 'Matrix': (20, 1, 1, 14)}]
